subject,descr,acad_groups,acad_orgs,careers,campuses
ESL,ESL - English as a Second Language,['PROV'],['ESL'],['NOCR'],['MAIN']
ETP,ETP - Enviromental Thought and Practice,['CGAS'],['ETP'],['UGRD'],['MAIN']
EURS,EURS - European Studies,['CGAS'],['CGAS'],['GRAD'],['MAIN']
EVAT,EVAT - Environmental Sciences-Atmospheric Sciences,['CGAS'],['EVSC'],['GRAD'],['MAIN']
EVEC,EVEC - Environmental Sciences-Ecology,['CGAS'],['EVSC'],['GRAD'],['MAIN']
EVGE,EVGE - Environmental Sciences-Geosciences,['CGAS'],['EVSC'],['GRAD'],['MAIN']
EVHY,EVHY - Environmental Sciences-Hydrology,['CGAS'],['EVSC'],['GRAD'],['MAIN']
EVSC,EVSC - Environmental Sciences,['CGAS'],['EVSC'],"['GRAD', 'UGRD']",['MAIN']
FREN,FREN - French,['CGAS'],['FREN'],"['GRAD', 'UGRD']","['INTER', 'MAIN']"
FRTR,FRTR - French in Translation,['CGAS'],['FREN'],['UGRD'],['MAIN']
GBAC,GBAC - Graduate Business Analytics Commerce,['MCDG'],['MCDG'],['GRAD'],['OFFGR']
GBUS,GBUS - Graduate Business,['GBUS'],['GBUSD'],['BUSN'],"['MAIN', 'OFFGR']"
GCCS,GCCS - Global Commerce in Culture and Society,['CGAS'],['CGASD'],['UGRD'],['MAIN']
GCNL,GCNL - Clinical Nurse Leader,['NURS'],['NURSD'],['GRAD'],['MAIN']
GCOM,GCOM - Graduate Commerce,['COMM'],['COMMD'],['GRAD'],"['MAIN', 'OFFGR']"
GDS,GDS - Global Development Studies,['CGAS'],['CGASD'],['UGRD'],['MAIN']
GERM,GERM - German,"['CGAS', 'DSCI']",['GERM'],"['GRAD', 'UGRD']",['MAIN']
GETR,GETR - German in Translation,['CGAS'],['GERM'],['UGRD'],['MAIN']
GHSS,GHSS - Graduate Humanities and Social Sciences,['CGAS'],['CGASD'],['GRAD'],['MAIN']
